Year,Make,Model,Quantity,Country
2010,Toyota ,Toyota Prius,220,Japan
2010,Toyota ,Toyota Prius,199,Japan
2010,Toyota ,Toyota Prius,125,Japan
2010,Toyota ,Toyota Prius,131,Japan
2010,Toyota ,Toyota Prius,155,Japan
2010,Toyota ,Toyota Prius,105,Japan
2010,Toyota ,Toyota Prius,71,Japan
2011,Toyota ,Toyota Prius,173,Japan
2011,Toyota ,Toyota Prius,75,Japan
2012,Toyota ,Toyota Prius,144,Japan
2012,Toyota ,Toyota Prius,324,Japan
2012,Toyota ,Toyota Prius,351,Japan
2012,Toyota ,Toyota Prius,279,Japan
2012,Toyota ,Toyota Prius,188,Japan
2013,Toyota ,Toyota Prius,248,Japan
2013,Toyota ,Toyota Prius,197,Japan
2013,Toyota ,Toyota Prius,154,Japan
2013,Toyota ,Toyota Prius,151,Japan
2013,Toyota ,Toyota Prius,142,Japan
2013,Toyota ,Toyota Prius,118,Japan
2015,Toyota ,Toyota Prius,99,Japan
2015,Toyota ,Toyota Prius,72,Japan
2016,Toyota ,Toyota Prius,55,Japan
2016,Toyota ,Toyota Prius,124,Japan
2016,Toyota ,Toyota Prius,153,Japan
2016,Toyota ,Toyota Prius,195,Japan
2016,Toyota ,Toyota Prius,197,Japan
2016,Toyota ,Toyota Prius,246,Japan
2016,Toyota ,Toyota Prius,186,Japan
2016,Toyota ,Toyota Prius,183,Japan
2016,Toyota ,Toyota Prius,233,Japan
2016,Toyota ,Toyota Prius,166,Japan
2016,Toyota ,Toyota Prius,143,Japan
2016,Toyota ,Toyota Prius,104,Japan
2010,Toyota ,Toyota Rav4,182,Japan
2010,Toyota ,Toyota Rav4,120,Japan
2010,Toyota ,Toyota Rav4,174,Japan
2010,Toyota ,Toyota Rav4,160,Japan
2010,Toyota ,Toyota Rav4,186,Japan
2010,Toyota ,Toyota Rav4,205,Japan
2010,Toyota ,Toyota Rav4,88,Japan
2011,Toyota ,Toyota Rav4,194,Japan
2011,Toyota ,Toyota Rav4,167,Japan
2011,Toyota ,Toyota Rav4,162,Japan
2011,Toyota ,Toyota Rav4,114,Japan
2011,Toyota ,Toyota Rav4,118,Japan
2012,Toyota ,Toyota Rav4,179,Japan
2012,Toyota ,Toyota Rav4,173,Japan
2012,Toyota ,Toyota Rav4,228,Japan
2012,Toyota ,Toyota Rav4,157,Japan
2012,Toyota ,Toyota Rav4,149,Japan
2012,Toyota ,Toyota RAV4,125,Japan
2012,Toyota ,Toyota Rav4,124,Japan
2013,Toyota ,Toyota Rav4,410,Japan
2013,Toyota ,Toyota Rav4,356,Japan
2013,Toyota ,Toyota Rav4,448,Japan
2013,Toyota ,Toyota Rav4,423,Japan
2013,Toyota ,Toyota Rav4,368,Japan
2013,Toyota ,Toyota Rav4,312,Japan
2013,Toyota ,Toyota Rav4,300,Japan
2013,Toyota ,Toyota Rav4,259,Japan
2013,Toyota ,Toyota RAV4,185,Japan
2014,Toyota ,Toyota Rav4,282,Japan
2014,Toyota ,Toyota Rav4,342,Japan
2014,Toyota ,Toyota Rav4,369,Japan
2014,Toyota ,Toyota Rav4,274,Japan
2014,Toyota ,Toyota Rav4,348,Japan
2014,Toyota ,Toyota Rav4,308,Japan
2014,Toyota ,Toyota Rav4,319,Japan
2014,Toyota ,Toyota Rav4,301,Japan
2014,Toyota ,Toyota Rav4,294,Japan
2014,Toyota ,Toyota Rav4,279,Japan
2014,Toyota ,Toyota Rav4,294,Japan
2014,Toyota ,Toyota Rav4,204,Japan
2015,Toyota ,Toyota Rav4,535,Japan
2015,Toyota ,Toyota Rav4,450,Japan
2015,Toyota ,Toyota Rav4,385,Japan
2015,Toyota ,Toyota Rav4,302,Japan
2015,Toyota ,Toyota Rav4,296,Japan
2015,Toyota ,Toyota Rav4,368,Japan
2015,Toyota ,Toyota Rav4,383,Japan
2015,Toyota ,Toyota Rav4,314,Japan
2015,Toyota ,Toyota Rav4,314,Japan
2015,Toyota ,Toyota Rav4,232,Japan
2015,Toyota ,Toyota Rav4,102,Japan
2015,Toyota ,Toyota Rav4,74,Japan
2016,Toyota ,Toyota Rav4,328,Japan
2016,Toyota ,Toyota Rav4,436,Japan
2016,Toyota ,Toyota Rav4,304,Japan
2016,Toyota ,Toyota Rav4,284,Japan
2016,Toyota ,Toyota Rav4,414,Japan
2016,Toyota ,Toyota Rav4,324,Japan
2016,Toyota ,Toyota Rav4,277,Japan
